"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","156","Sugar cane","2020","2020","tonnes","8.1009261E7","1"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","951","Milk, whole fresh buffalo","2020","2020","tonnes","3.7256E7","2"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","15","Wheat","2020","2020","tonnes","2.5247511E7","3"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","882","Milk, whole fresh cow","2020","2020","tonnes","2.2508E7","4"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","56","Maize","2020","2020","tonnes","8464885.0","5"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","27","Rice, paddy","2020","2020","tonnes","8419276.0","6"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","30","Rice, paddy (rice milled equivalent)","2020","2020","tonnes","5615657.0","7"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","116","Potatoes","2020","2020","tonnes","4552656.0","8"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","328","Seed cotton","2020","2020","tonnes","3454334.0","9"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","619","Fruit, fresh nes","2020","2020","tonnes","2434279.0","10"
